"POINT (126.9785208 37.5703667)",점 1,
"POINT (126.9785446 37.5704792)",점 2,
"POINT (126.9785545 37.5706377)",점 3,
"POINT (126.9785599 37.5708162)",점 4,
"POINT (126.9785706 37.5709693)",점 5,
"POINT (126.978576 37.5711096)",점 6,
"POINT (126.9785813 37.5712457)",점 7,
"POINT (126.9785599 37.5713817)",점 8,
"POINT (126.9785384 37.571522)",점 9,
"POINT (126.9785009 37.5716581)",점 10,
"POINT (126.9784955 37.5717984)",점 11,
"POINT (126.9785009 37.5719345)",점 12,
"POINT (126.9784848 37.5720705)",점 13,
"POINT (126.9784687 37.5722193)",점 14,
"POINT (126.978458 37.5723554)",점 15,
"POINT (126.9784741 37.5725084)",점 16,
"POINT (126.9785653 37.5725765)",점 17,
"POINT (126.9786189 37.5725552)",점 18,
"POINT (126.9786994 37.5725084)",점 19,
"POINT (126.9788174 37.5724617)",점 20,
"POINT (126.97893 37.5724319)",점 21,
"POINT (126.979048 37.5724234)",점 22,
"POINT (126.9791553 37.5724149)",점 23,
"POINT (126.979209 37.5723554)",점 24,
"POINT (126.979209 37.5723086)",점 25,
"POINT (126.9792256 37.5722759)",점 26,
"POINT (126.979231 37.5721888)",점 27,
"POINT (126.979231 37.5721356)",점 28,
"POINT (126.979235 37.5720921)",점 29,
"POINT (126.979235 37.5720261)",점 30,
"POINT (126.9792363 37.5719411)",점 31,
"POINT (126.9792377 37.5718848)",점 32,
"POINT (126.9792404 37.5718338)",점 33,
"POINT (126.9792363 37.5717871)",점 34,
"POINT (126.979231 37.5717361)",점 35,
"POINT (126.9792363 37.5716787)",점 36,
"POINT (126.9792337 37.5716298)",점 37,
"POINT (126.9792363 37.5715703)",점 38,
"POINT (126.979239 37.5715235)",점 39,
"POINT (126.9792417 37.571464)",점 40,
"POINT (126.9792444 37.5714215)",점 41,
"POINT (126.9792497 37.5713577)",점 42,
"POINT (126.9792497 37.5712642)",점 43,
"POINT (126.9792551 37.5711621)",점 44,
"POINT (126.9792497 37.5710898)",점 45,
"POINT (126.9792578 37.5710388)",점 46,
"POINT (126.979254 37.5709735)",점 47,
"POINT (126.979254 37.5709075)",점 48,
"POINT (126.979254 37.5708459)",점 49,
"POINT (126.9792459 37.5707672)",점 50,
"POINT (126.9792459 37.5706886)",점 51,
"POINT (126.9792513 37.5706184)",점 52,
"POINT (126.9792486 37.570561)",점 53,
"POINT (126.9792567 37.5705036)",점 54,
"POINT (126.9792433 37.5704398)",점 55,
"POINT (126.9792379 37.5703803)",점 56,
